fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	lambda_l1	lambda_l2	verbosity	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221019 020226	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	839	TRUE	671017	0.0164495910960755	0.502477097499303	3556	16	6672	26020000	102
20221019 020340	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	359	TRUE	671017	0.0200721622357953	0.565202134214581	395	20	7800	26880000	103
20221019 020818	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	591	TRUE	671017	0.00601776129984064	0.647575282548275	353	243	8101	27480000	104
20221019 021407	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1111	TRUE	671017	0.00504147723489701	0.354426561240068	721	676	8021	27240000	105
20221019 021926	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	672	TRUE	671017	0.0054677160778545	0.338315676826851	370	601	7948	27390000	106
20221019 022441	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1286	TRUE	671017	0.0052909251358955	0.283317916675837	1083	611	7678	27130000	107
20221019 022613	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	414	TRUE	671017	0.0198764306487585	0.313204853485384	2058	1023	8106	26750000	108
20221019 022653	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	207	TRUE	671017	0.120395710660766	0.332824932572799	2449	957	8247	26630000	109
20221019 022716	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	72	TRUE	671017	0.124040927820733	0.390520589627892	3289	367	7790	25940000	110
20221019 023310	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	702	TRUE	671017	0.00510616637660796	0.399919412029474	379	823	7659	27170000	111
20221019 023629	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	695	TRUE	671017	0.00946937388315505	0.307567653365851	933	408	8584	27240000	112
20221019 023910	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	381	TRUE	671017	0.0131404103626418	0.360227958709377	415	481	8850	27180000	113
20221019 024426	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1356	TRUE	671017	0.00519235262097766	0.598394766577474	1710	828	8371	26780000	114
20221019 024506	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	135	TRUE	671017	0.0823660255008188	0.219811397142697	860	300	8143	26280000	115
20221019 024919	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	853	TRUE	671017	0.00585714977839486	0.630980899445596	1003	118	8491	26700000	116
20221019 025155	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	575	TRUE	671017	0.0104154923098138	0.326981472386765	1135	933	8541	27240000	117
20221019 025508	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	399	TRUE	671017	0.0102233499644034	0.622029126808728	426	866	7966	27270000	118
20221019 025548	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	144	TRUE	671017	0.0583261370656592	0.585145960191658	4229	19	8340	26280000	119
20221019 025948	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	772	TRUE	671017	0.00540004589475287	0.306257951333607	1371	981	9591	26580000	120
