fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	lambda_l1	lambda_l2	verbosity	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221019 060840	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1284	TRUE	671017	0.00523600771992823	0.201332343359561	1287	46	7962	26880000	33
20221019 061552	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1154	TRUE	671017	0.00501751804739457	0.438944335629057	1104	216	7909	27150000	34
20221019 062104	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1826	TRUE	671017	0.00554895636277519	0.271095043717561	4001	1023	7964	26080000	35
20221019 062536	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	935	TRUE	671017	0.00510816470314098	0.372254887411375	1247	223	8081	27040000	36
20221019 062938	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1601	TRUE	671017	0.00506172797084098	0.602268972936203	808	16	7839	26970000	37
20221019 063504	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1155	TRUE	671017	0.00511971855093499	0.493779498961606	1270	174	7867	26990000	38
20221019 063930	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1009	TRUE	671017	0.00535457792832565	0.265344937636787	969	216	7891	27100000	39
20221019 064404	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1186	TRUE	671017	0.00521299000918552	0.230163912404195	1105	271	7568	26950000	40
20221019 064911	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1188	TRUE	671017	0.00510158479809113	0.999999724417684	1108	800	8041	26800000	41
20221019 065237	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1389	TRUE	671017	0.00523845925750578	0.979223497908273	7999	1020	9625	25470000	42
20221019 065511	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	994	TRUE	671017	0.00551295101782131	0.957204759073003	876	16	8041	26720000	43
20221019 070136	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2556	TRUE	671017	0.00504595542278763	0.992235340633294	2797	811	8006	26390000	44
20221019 070229	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	244	TRUE	671017	0.0536549965280427	0.200482477864558	965	247	7997	26970000	45
20221019 070853	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	3087	TRUE	671017	0.00557015462676065	0.20140842146715	7989	492	7009	25830000	46
20221019 071141	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	945	TRUE	671017	0.0132240325078	0.38584872106187	6275	16	6855	25970000	47
20221019 071509	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	658	TRUE	671017	0.00584583084739365	0.679831626625776	1107	125	8606	26790000	48
20221019 072006	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1207	TRUE	671017	0.00515471052197869	0.998807714813275	1191	1020	9815	26210000	49
20221019 072517	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1505	TRUE	671017	0.00561084878301296	0.200027204439144	961	228	9889	26630000	50
20221019 072538	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	102	TRUE	671017	0.299219524047921	0.489174440116579	7995	16	5063	23720000	51
20221019 073312	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1199	TRUE	671017	0.00518142388284634	0.444112009135331	991	216	8003	27280000	52
20221019 073815	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	927	TRUE	671017	0.00504785667186084	0.454053525668988	758	106	8220	27240000	53
20221019 074344	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2475	TRUE	671017	0.0052571712918109	0.61699246277718	7964	1008	7722	25600000	54
20221019 074950	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2400	TRUE	671017	0.00570077207790804	0.200027006192129	2508	1012	7011	26540000	55
20221019 075430	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1167	TRUE	671017	0.00523307153520029	0.200702863595413	856	225	5937	26130000	56
20221019 075923	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2247	TRUE	671017	0.00516247926154294	0.972747300353877	5533	16	8113	26020000	57
