fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221018 225617	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3617	TRUE	102191	0.00509999392303003	0.863550758812794	4854	379	8671	26740000	38
20221018 230009	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	708	TRUE	102191	0.00556920442510956	0.989944843522224	984	296	8891	27020000	39
20221018 230328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	482	TRUE	102191	0.00904614688217346	0.996813395269031	1069	410	8824	27160000	40
20221018 230426	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	199	TRUE	102191	0.0232450747035822	0.982035456587147	1446	381	8869	26830000	41
20221018 231032	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1035	TRUE	102191	0.00511114903775538	0.986269125696878	1139	468	8821	27560000	42
20221018 231533	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1062	TRUE	102191	0.0050178699629635	0.914605125606903	975	534	8800	26960000	43
20221018 232004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	988	TRUE	102191	0.00516396501233847	0.559923644364705	1966	467	8743	26360000	44
20221018 232456	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2059	TRUE	102191	0.00503668021364747	0.991082521751912	4696	480	9358	26330000	45
20221018 232901	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1445	TRUE	102191	0.00543393666215491	0.998676591719572	3749	451	7991	26580000	46
20221018 232931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	102191	0.0963654640969636	0.974371695636413	576	757	8338	26930000	47
20221018 232954	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	102191	0.101768650273163	0.998172271964877	2594	907	8513	26740000	48
20221018 233021	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	102191	0.119889527955305	0.237247005330742	852	774	7951	26260000	49
20221018 233042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	102191	0.148360760544597	0.999851043626767	4390	789	8423	25720000	50
20221018 233257	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	198	TRUE	102191	0.0174878282265572	0.958478861397844	189	471	8648	26790000	51
20221018 233330	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	102191	0.101462645778035	0.977614839403459	879	824	6431	26420000	52
20221018 233401	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	102191	0.0652653432713711	0.968811093648245	785	828	8985	26990000	53
20221018 233820	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	799	TRUE	102191	0.00501594947570973	0.999165463550174	1001	946	8835	27130000	54
20221018 234415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	841	TRUE	102191	0.00503889496901744	0.996261517267266	494	969	10543	25960000	55
20221018 234452	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	174	TRUE	102191	0.0483937652576258	0.99696107533658	3535	988	8713	26260000	56
20221018 235245	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1035	TRUE	102191	0.00506744855131435	0.990030101438741	341	790	8713	26580000	57
20221019 000011	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2632	TRUE	102191	0.00500956406430826	0.877360084203546	1968	1018	5929	26070000	58
20221019 000033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	102191	0.0841592998224986	0.970404812161125	1251	164	8803	26480000	59
20221019 000305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	942	TRUE	102191	0.00502563675125332	0.847758684196156	0	18	6530	25740000	60
20221019 000348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	312	TRUE	102191	0.0854322427374484	0.774638715370104	7828	978	5020	24360000	61
20221019 000423	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	108	TRUE	102191	0.0800179242439923	0.76371827431598	920	852	8092	27500000	62
20221019 000546	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	144	TRUE	102191	0.0850559653206227	0.64335727445632	99	858	8673	26260000	63
20221019 000618	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	102191	0.0789728053319827	0.822215047508698	1737	838	7816	25970000	64
20221019 000649	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	102191	0.0674656932260724	0.744657467583311	492	848	9641	26960000	65
20221019 000715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	102191	0.0901341028210784	0.758429083662399	757	564	8147	26910000	66
