fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	lambda_l1	lambda_l2	verbosity	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221019 044041	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	63	TRUE	671017	0.22676499050745	0.719052673857659	4828	376	10668	24270000	1
20221019 044056	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	46	TRUE	671017	0.182384336770279	0.5891532068979	5389	598	12259	22930000	2
20221019 044118	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	62	TRUE	671017	0.099840129252465	0.723285818127915	3139	255	10206	25430000	3
20221019 044208	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	86	TRUE	671017	0.123532827648276	0.669307016413659	137	531	8982	24680000	4
20221019 044239	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	139	TRUE	671017	0.0698922060873592	0.890453731175512	5764	500	7309	25870000	5
20221019 044258	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	45	TRUE	671017	0.270234798372374	0.334294350966811	1145	796	11118	22970000	6
20221019 044323	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	105	TRUE	671017	0.117964977533498	0.427896328726783	4772	860	5193	24100000	7
20221019 044336	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	18	TRUE	671017	0.293558102366514	0.761193333761767	1702	693	14226	20110000	8
20221019 044359	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	73	TRUE	671017	0.179595653725031	0.945435672607273	1265	136	5830	24820000	9
20221019 044418	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	82	TRUE	671017	0.219776174139464	0.379697397015989	6518	653	7923	25040000	10
20221019 044510	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	210	TRUE	671017	0.0376765375988325	0.461790258930996	3884	281	13178	24050000	11
20221019 044521	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	29	TRUE	671017	0.276901581451995	0.219542958540842	6373	910	13830	22340000	12
20221019 044535	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	42	TRUE	671017	0.242085627961729	0.625515401521698	4304	94	9331	24300000	13
20221019 044648	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	272	TRUE	671017	0.0302535722597968	0.252814573133364	2519	1010	9978	26130000	14
20221019 044709	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	119	TRUE	671017	0.0888028502411325	0.842802674891427	7504	168	11979	24850000	15
20221019 044953	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1047	TRUE	671017	0.0116583858904778	0.99518835500814	7038	928	6134	25260000	16
20221019 045016	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	38	TRUE	671017	0.15725580684474	0.50254293506965	673	348	14841	21440000	17
20221019 045133	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	331	TRUE	671017	0.0565196822989383	0.54924321631901	2368	33	6765	26550000	18
20221019 045152	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	79	TRUE	671017	0.13949900582165	0.28863959540613	7893	430	12831	24180000	19
20221019 045208	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	43	TRUE	671017	0.198138930836285	0.836335877776146	3439	747	8419	25330000	20
20221019 045835	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2029	TRUE	671017	0.00512647482653183	0.379086196884635	2771	305	7727	26470000	21
20221019 050150	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1065	TRUE	671017	0.00517795768899815	0.83282733653274	2661	18	7137	26370000	22
20221019 050434	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	755	TRUE	671017	0.0170900045342676	0.667219030581942	2603	948	7812	26780000	23
20221019 050956	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2096	TRUE	671017	0.00511528525315154	0.753968238037218	3643	1023	8594	26020000	24
20221019 051046	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	167	TRUE	671017	0.0383344369050806	0.5378287726361	2194	795	7218	26210000	25
20221019 051136	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	238	TRUE	671017	0.0455914413978794	0.255307891788131	2500	1024	7982	26360000	26
20221019 051301	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	467	TRUE	671017	0.0285555814289816	0.526140009009896	7989	16	7418	25570000	27
20221019 051346	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	171	TRUE	671017	0.0314321474896934	0.988766867564589	2419	1024	7846	26230000	28
