Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.134231412392419	0.0314157232072139	0.0279797823508175
ctrx_quarter	0.118211066726665	0.0317032066427129	0.0388106658414565
mcaja_ahorro	0.0408456599468225	0.0142783704427539	0.0295012636030739
mcuentas_saldo	0.035973953811614	0.0272812718295626	0.0290628706998814
mrentabilidad_annual	0.0240368861815432	0.0194090412832465	0.0224354015163237
mprestamos_personales	0.0206356566811714	0.0175838272083092	0.00577647119500748
mpasivos_margen	0.0194403771919369	0.0183898719210523	0.0279024188973129
cliente_edad	0.0182767069972266	0.0332671302747581	0.0348909175305586
mtarjeta_visa_consumo	0.0181122890233455	0.00838340003354705	0.0136417556346382
cpayroll_trx	0.0168602930687938	0.01729629015155	0.00943834132755686
mpayroll_sobre_edad	0.0166260764790514	0.0199675086938929	0.0145185414410233
Master_Fvencimiento	0.0154750741717128	0.0170502599221078	0.0198566197328382
Master_fechaalta	0.015246302995431	0.0159729631279164	0.0214554644385992
mpayroll	0.0149511555461575	0.019886856360679	0.0137449069059776
numero_de_cliente	0.0142589718685627	0.0104129587730757	0.0197534684614988
mrentabilidad	0.0141965332011095	0.013346486562254	0.0147764196193718
chomebanking_transacciones	0.0141457637121804	0.0157768443618298	0.0177420186703801
mactivos_margen	0.0135079068050296	0.0124267806657306	0.0162979008716282
mcuenta_corriente	0.0126469402867967	0.012906432767817	0.0139254216308216
Visa_Fvencimiento	0.0124146511912039	0.0123567314402222	0.0151116612512249
Visa_fechaalta	0.0114462668653161	0.0105884492417775	0.0173036257671876
mtransferencias_recibidas	0.0114250659954537	0.0105497902991673	0.0109598225798133
mv_Fvencimiento	0.0114217437216025	0.0129980337679687	0.0144669658053536
cliente_antiguedad	0.0112451737108693	0.0183952042574804	0.0220485842488009
cdescubierto_preacordado	0.00980559560556302	0.00407849858564989	0.00203723760895353
cprestamos_personales	0.00964531686054312	0.00606276722006058	0.00278508432616432
mcomisiones_otras	0.00885712534685604	0.0135001392762584	0.014750631801537
mvr_mpagospesos	0.00871973550344543	0.00612168705512476	0.00990252204858425
mcomisiones	0.00848100406033203	0.0109327612831941	0.0149569343442158
mcuenta_debitos_automaticos	0.00826551626258921	0.0100102571512788	0.00670483263706225
mv_status01	0.00805102974053231	0.0061400394279112	0.00250141832998092
